user_id,device,country,subscription_type,module,video_length,completed,time_spent,signup_date
1,mobile,UK,trial,intro,18.89063438360395,0,6.866823033175231,2024-05-28
2,desktop,UK,free,intermediate,9.65163242275987,0,4.960437759218144,2024-02-05
3,mobile,DE,paid,intro,6.8616409914435055,0,2.261850498131805,2024-04-06
4,desktop,BR,free,basics,2.0,1,2.1045938471497303,2024-05-03
5,desktop,BR,free,intro,5.0873600366525515,1,4.8994982714550455,2024-06-05
6,mobile,UK,free,intermediate,8.434133354142569,1,8.989733351214907,2024-02-03
7,mobile,BR,paid,basics,16.125080850863007,0,5.230888558170453,2024-03-23
8,mobile,IN,free,basics,9.961892982716641,0,4.646545578771621,2024-02-25
9,mobile,UK,free,advanced,2.0,0,1.0,2024-06-19
10,mobile,DE,free,advanced,18.144141039612713,0,6.040439278373582,2024-05-08
11,desktop,BR,paid,advanced,6.437278732374263,0,1.5933506050947823,2024-06-18
12,desktop,DE,paid,basics,20.066112268357593,0,11.981945067174111,2024-04-21
13,mobile,BR,paid,advanced,2.5087687332685107,1,2.591232921604691,2024-04-21
14,mobile,IN,free,basics,15.231378232791158,0,8.685479194932075,2024-06-14
15,mobile,BR,free,intro,5.160068776574195,0,1.8748665424049198,2024-03-17
16,desktop,BR,trial,intermediate,11.660116765955532,0,6.909594317753443,2024-04-08
17,mobile,UK,paid,advanced,13.408481253921977,0,3.1693366062565427,2024-01-23
18,mobile,UK,trial,intro,5.593676262824728,0,2.583460777605258,2024-03-21
19,desktop,UK,free,intermediate,10.156885521894443,0,5.501350661804287,2024-02-27
20,mobile,UK,paid,intro,9.347070800468408,1,9.369608459687615,2024-05-06
21,desktop,US,trial,basics,9.269152462263591,1,9.026124916890614,2024-03-30
22,desktop,US,free,intro,12.595886427775255,0,2.6871985928959052,2024-01-17
23,mobile,IN,trial,advanced,2.692482968243688,0,1.4020741542452797,2024-03-20
24,mobile,UK,free,intermediate,10.488055197454774,1,11.731049622487435,2024-02-17
25,desktop,BR,trial,basics,20.471720462776624,0,6.445325662791957,2024-04-09
26,mobile,IN,paid,intermediate,16.26895480693795,0,8.044791032727868,2024-06-12
27,mobile,UK,free,advanced,13.374358904634402,0,7.700023566583209,2024-05-14
28,desktop,US,free,basics,10.771748688812176,0,2.557196568655292,2024-04-04
29,desktop,US,trial,intro,18.053420136937532,0,6.745729052139429,2024-03-19
30,mobile,IN,paid,basics,9.900489607472682,1,9.870894142764865,2024-01-20
31,mobile,DE,free,intro,5.822687048817061,0,3.453057035157186,2024-02-21
32,mobile,UK,free,intermediate,2.0224289190271865,1,1.6945025688140918,2024-03-11
33,mobile,IN,paid,intermediate,18.304412686412217,0,6.58675727871255,2024-03-01
34,mobile,DE,free,basics,8.180317873805372,0,3.584533391903866,2024-04-12
35,mobile,US,paid,basics,15.78002285668191,0,9.351116442146042,2024-06-03
36,desktop,US,free,basics,23.280589913181995,0,9.436861790820979,2024-06-01
37,desktop,BR,free,intro,7.375269873072556,0,3.0647592489012876,2024-03-26
38,mobile,UK,paid,intro,18.11641124089561,0,4.781614029191531,2024-04-25
39,mobile,BR,free,intermediate,10.899148102761115,0,2.8657552166662765,2024-05-29
40,mobile,DE,free,intro,18.074727721905777,0,4.10860076757455,2024-01-18
41,mobile,DE,free,advanced,2.0,0,1.0,2024-01-25
42,mobile,BR,free,intro,20.871667110794718,0,4.2697497893736935,2024-04-02
43,desktop,UK,free,basics,11.192938529266936,0,3.713793996745519,2024-01-11
44,mobile,US,trial,intro,2.825282412311198,1,2.9558047746350042,2024-02-25
45,mobile,BR,free,advanced,31.6060735913227,0,10.320940655168693,2024-05-27
46,desktop,IN,trial,intro,11.373429019727698,0,6.5882560079733565,2024-06-18
47,mobile,UK,trial,basics,8.088240287081305,1,7.0948941775978565,2024-03-18
