user_id,device,country,subscription_type,module,video_length,completed,time_spent,signup_date
1,mobile,BR,free,intermediate,3.6232112115394957,0,2.081886575137374,2024-05-25
2,mobile,UK,free,intro,5.661918763781583,0,1.8466166957290902,2024-05-06
3,mobile,IN,paid,intermediate,12.23840380567554,1,13.748856952102107,2024-05-21
4,mobile,BR,free,intermediate,8.365810663695983,0,4.984389332165797,2024-05-18
5,desktop,DE,paid,intermediate,14.610377153713094,1,18.613650813161772,2024-01-17
6,mobile,DE,free,advanced,8.379212292844818,0,3.2999279227243314,2024-03-06
7,mobile,US,free,advanced,12.72808328685808,1,10.404841749288465,2024-03-26
8,desktop,IN,trial,intro,15.720298702434139,0,8.491215154125467,2024-05-13
9,desktop,UK,free,advanced,13.101233891618463,1,12.70563578674235,2024-04-20
10,mobile,UK,free,basics,9.785633632557907,0,4.765885990053218,2024-04-06
11,desktop,DE,free,basics,12.195881812068093,0,1.5679649521619832,2024-03-28
12,mobile,US,paid,intro,9.191728865032715,1,11.715644075524738,2024-04-09
13,mobile,UK,trial,intro,14.427590714872231,1,16.990493306805625,2024-06-07
14,mobile,BR,paid,intro,21.299491873223907,0,2.984783713184291,2024-01-06
15,mobile,US,free,advanced,14.77900919757016,0,5.132116211477738,2024-04-26
16,desktop,DE,paid,advanced,13.029292747040403,1,16.801402222921496,2024-01-17
17,desktop,US,trial,basics,8.915760657001817,0,4.5822887630572975,2024-02-15
18,mobile,UK,trial,advanced,13.148658544945867,0,1.6620544191816262,2024-02-13
19,mobile,DE,paid,intro,12.49741662765382,0,6.363631726451254,2024-05-22
20,mobile,DE,free,advanced,12.364431268582369,0,6.306103955166657,2024-02-19
21,desktop,UK,trial,intermediate,13.167040866329778,0,7.601630802377958,2024-01-16
22,mobile,IN,trial,advanced,12.155024385198477,0,2.589614270063306,2024-05-24
23,desktop,UK,free,basics,2.7712312471126808,1,3.1386619604163077,2024-02-26
24,mobile,UK,trial,intro,15.914772291436584,1,13.470287168997158,2024-06-09
25,mobile,US,free,intro,12.66478495987698,0,7.1527956694285075,2024-01-07
26,mobile,DE,free,basics,7.861186466751122,1,8.514221861613397,2024-02-23
27,desktop,IN,paid,advanced,16.105424297064047,1,19.331789969749504,2024-01-08
28,mobile,DE,free,basics,18.0328250377844,0,6.356945895238572,2024-02-29
29,desktop,DE,trial,intro,9.939754501440023,0,4.49406104636925,2024-04-17
30,desktop,BR,paid,advanced,15.813914758829604,1,20.356334830715518,2024-04-26
31,desktop,IN,free,intermediate,10.610826834028234,0,3.8637657915086345,2024-04-22
32,desktop,US,free,intro,14.798315888608952,1,14.848770503827035,2024-06-03
33,desktop,IN,free,intermediate,13.78443944851404,0,4.732651800906044,2024-03-26
34,mobile,US,paid,intermediate,21.039015157933065,0,12.60804114478568,2024-01-20
35,mobile,DE,paid,advanced,14.78412537272153,1,12.268044511321628,2024-02-13
36,mobile,UK,paid,intermediate,2.0,1,2.264609005805979,2024-01-13
37,desktop,DE,free,advanced,6.373072132528931,1,7.715192822098887,2024-06-20
38,mobile,BR,paid,intro,21.038527067715997,1,26.704121853016886,2024-05-08
