user_id,device,country,subscription_type,module,video_length,completed,time_spent,signup_date
1,mobile,BR,free,basics,13.278617581101997,0,6.4352670607749,2024-04-07
2,mobile,UK,free,advanced,6.941124786499888,1,7.270539479691725,2024-06-10
3,desktop,US,free,intro,12.709315252201586,0,2.854518563448665,2024-04-13
4,mobile,IN,free,intermediate,10.39977968909274,0,4.131575660879929,2024-03-02
5,mobile,UK,paid,basics,7.432715560744793,0,3.757592385997333,2024-06-03
6,mobile,UK,free,advanced,11.512863916891373,1,11.928377253961111,2024-05-25
7,mobile,BR,paid,intro,10.738782549148505,1,11.848420095609539,2024-03-17
8,desktop,UK,trial,intro,4.051544281221609,1,4.034372135091098,2024-01-23
9,mobile,US,free,advanced,10.240603996662612,0,2.558831572280747,2024-05-05
10,desktop,DE,paid,intro,7.839329447619585,1,7.159783039974338,2024-02-02
11,mobile,DE,free,intermediate,15.814808375533254,1,16.055247763527078,2024-06-16
12,desktop,BR,free,intro,11.37092116466362,0,5.09052079401496,2024-01-17
13,mobile,BR,paid,intro,5.8608524612112385,1,5.762239204929167,2024-03-31
14,mobile,UK,paid,basics,4.571124346787136,1,3.8334649291217566,2024-04-19
15,mobile,US,free,intro,9.35674027818259,0,3.5975836828657637,2024-01-19
16,desktop,BR,paid,advanced,5.33102828162562,1,6.221339338502298,2024-05-18
17,desktop,BR,paid,advanced,2.7691767328817924,0,1.1066808667743215,2024-05-27
18,desktop,BR,trial,intermediate,8.779655744674368,0,4.2579126338092586,2024-03-04
19,desktop,BR,free,intro,6.971835687796604,0,3.8160704499260634,2024-06-19
20,mobile,BR,paid,basics,12.162393400413407,0,5.004506617032762,2024-05-21
21,mobile,UK,trial,intermediate,11.725302539073546,1,10.202904651127383,2024-05-28
22,desktop,IN,trial,advanced,12.495673783287597,0,2.601080131816757,2024-05-28
23,mobile,UK,trial,intro,9.306895884863744,1,9.44294979788689,2024-05-29
24,desktop,BR,free,basics,16.67097108123788,0,9.850370045888425,2024-04-17
25,desktop,BR,paid,intermediate,19.28729862348414,0,4.183421120218804,2024-03-09
26,desktop,IN,paid,intermediate,6.440151992960716,1,6.040609934937064,2024-05-30
27,desktop,DE,trial,intermediate,8.712185744672544,1,8.281608215190069,2024-06-10
28,mobile,UK,paid,intro,7.604120845659745,0,1.6013467822545382,2024-05-20
29,mobile,UK,free,intermediate,6.703600171606999,0,2.057278580581718,2024-06-27
30,mobile,US,free,basics,9.86306961584462,0,5.064055537106176,2024-01-13
31,mobile,BR,free,advanced,13.1448993054237,0,3.305952670400466,2024-03-10
32,mobile,DE,free,advanced,19.139861734657554,1,16.26664685036604,2024-02-11
33,desktop,UK,free,basics,2.0886878873399874,1,2.3098250763103154,2024-05-27
34,mobile,BR,free,basics,9.401156733712089,1,9.77965978132256,2024-01-23
35,desktop,UK,free,intro,7.57064940194258,1,8.378067588945367,2024-04-29
36,desktop,BR,trial,intermediate,11.865309188173773,0,2.6733590000083174,2024-04-15
